"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Hehra","Roasted Quail","ffffffff","1","White","1","https://classicdb.ch/?item=8952","2017.09.21"
"Hehra","Kurinnaxx's Venom Sac","ffffffff","1","White","1","https://classicdb.ch/?item=22217","2018.02.09"
"Hehra","Bow of Taut Sinew","ffa335ee","1","Epic","4","https://classicdb.ch/?item=21478","2017.12.29"
"Hehra","Onyxia Hide Backpack","ff1eff00","1","Green","2","https://classicdb.ch/?item=17966","2017.10.22"
"Hehra","Ancient Qiraji Artifact","ffffffff","2","White","1","https://classicdb.ch/?item=21230","2018.02.11"
"Hehra","Head of the Broodlord Lashlayer","ffa335ee","1","Epic","4","https://classicdb.ch/?item=20383","2017.12.28"
"Hehra","Bloodfang Spaulders","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16832","2018.01.28"
"Hehra","Primal Hakkari Kossack","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19723","2017.12.10"
"Hehra","Qiraji Lord's Insignia","ffffffff","5","White","1","https://classicdb.ch/?item=21229","2018.02.11"
"Hehra","Plans: Thorium Armor","ff1eff00","1","Green","2","https://classicdb.ch/?item=12682","2017.12.26"
"Hehra","Glowstar Rod of Spirit","ff1eff00","1","Green","2","https://classicdb.ch/?item=15281","2017.12.26"
"Hehra","Qiraji Ceremonial Ring","ff0070dd","1","Blue","3","https://classicdb.ch/?item=20888","2018.02.09"
"Hehra","Bloodfang Hood","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16908","2018.01.14"
"Hehra","Runecloth","ffffffff","1","White","1","https://classicdb.ch/?item=14047","2017.12.17"
