"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Wintermage","Armored Chitin","ff9d9d9d","2","Grey","0","https://classicdb.ch/?item=21222","2018.01.15"
"Wintermage","Gold Scarab","ff1eff00","2","Green","2","https://classicdb.ch/?item=20859","2018.01.15"
"Wintermage","Armored Chitin","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=21222","2018.02.06"
"Wintermage","Heavy Silithid Husk","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=21225","2018.02.06"
"Wintermage","Staff of the Ruins","ffa335ee","1","Epic","4","https://classicdb.ch/?item=21452","2018.02.06"
"Wintermage","Silver Scarab","ff1eff00","1","Green","2","https://classicdb.ch/?item=20860","2018.01.15"
"Wintermage","Kurinnaxx's Venom Sac","ffffffff","1","White","1","https://classicdb.ch/?item=22217","2018.02.06"
"Wintermage","Ancient Armor Fragment","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=21224","2018.01.15"
"Wintermage","Tome of Fireball XII","ff0070dd","1","Blue","3","https://classicdb.ch/?item=21279","2018.01.15"
"Wintermage","Ringo's Blizzard Boots","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19438","2017.12.31"
"Wintermage","Bronze Scarab","ff1eff00","1","Green","2","https://classicdb.ch/?item=20861","2018.02.06"
"Wintermage","Clay Scarab","ff1eff00","1","Green","2","https://classicdb.ch/?item=20863","2018.02.06"
"Wintermage","Qiraji Lord's Insignia","ffffffff","2","White","1","https://classicdb.ch/?item=21229","2017.12.28"
